<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
05/09/18,106550,106550,106040,106270
05/09/18,106270,106270,106170,106210
05/09/18,106300,106300,106250,106250
05/09/18,106250,106250,106250,106250
05/09/18,106160,106160,106110,106110
05/09/18,106230,106240,106200,106200
05/09/18,106260,106260,106210,106210
05/09/18,106300,106300,106280,106280
05/09/18,106200,106210,106200,106210
05/09/18,106250,106250,106170,106180
05/09/18,106250,106250,106180,106180
05/09/18,106200,106200,106200,106200
05/09/18,106190,106190,106170,106170
05/09/18,106160,106160,106160,106160
05/09/18,106190,106260,106190,106260
05/09/18,106220,106240,106220,106240
05/09/18,106280,106350,106280,106350
05/09/18,106400,106400,106400,106400
05/09/18,106250,106260,106250,106260
05/09/18,106250,106250,106240,106240
05/09/18,106210,106210,106210,106210
05/09/18,106300,106300,106300,106300
05/09/18,106370,106370,106370,106370
05/09/18,106400,106400,106400,106400
05/09/18,106350,106350,106350,106350
05/09/18,106380,106380,106380,106380
05/09/18,106430,106470,106430,106470
05/09/18,106410,106410,106410,106410
05/09/18,106380,106380,106380,106380
05/09/18,106380,106380,106380,106380
05/09/18,106330,106330,106330,106330
05/09/18,106360,106360,106350,106350
05/09/18,106450,106450,106450,106450
05/09/18,106550,106550,106550,106550
05/09/18,106450,106450,106450,106450
05/09/18,106600,106600,106600,106600
05/09/18,106590,106590,106590,106590
05/09/18,106530,106530,106530,106530
05/09/18,106420,106420,106400,106400
05/09/18,106350,106350,106350,106350
05/09/18,106330,106330,106330,106330
05/09/18,106320,106350,106280,106350
05/09/18,106250,106250,106250,106250
05/09/18,106270,106270,106270,106270
05/09/18,106240,106240,106230,106230
05/09/18,106280,106280,106280,106280
05/09/18,106400,106400,106400,106400
05/09/18,106450,106450,106390,106390
05/09/18,106500,106500,106500,106500
05/09/18,106400,106400,106400,106400
05/09/18,106390,106390,106390,106390
05/09/18,106430,106430,106430,106430
05/09/18,106430,106430,106430,106430
05/09/18,106490,106490,106490,106490
05/09/18,106380,106380,106380,106380
05/09/18,106340,106340,106340,106340
05/09/18,106350,106350,106350,106350
05/09/18,106400,106400,106400,106400
05/09/18,106480,106480,106480,106480
05/09/18,106460,106500,106460,106500
05/09/18,106550,106550,106550,106550
05/09/18,106560,106560,106560,106560
05/09/18,106590,106590,106590,106590
05/09/18,106630,106700,106630,106700
05/09/18,106650,106650,106640,106640
05/09/18,106640,106640,106640,106640
05/09/18,106700,106700,106700,106700
05/09/18,106700,106700,106700,106700
05/09/18,106700,106800,106700,106780
05/09/18,106750,106790,106750,106790
05/09/18,106810,106820,106810,106820
05/09/18,106830,106850,106830,106850
05/09/18,106850,106860,106850,106860
05/09/18,106860,106890,106860,106870
05/09/18,106860,106870,106830,106830
05/09/18,106850,106870,106850,106870
05/09/18,106880,106880,106830,106830
05/09/18,106860,106860,106850,106850
05/09/18,106810,106810,106810,106810
05/09/18,106780,106780,106780,106780
05/09/18,106770,106770,106770,106770
05/09/18,106700,106720,106700,106720
05/09/18,106640,106640,106600,106600
05/09/18,106560,106560,106550,106550
05/09/18,106570,106570,106570,106570
05/09/18,106560,106560,106560,106560
05/09/18,106600,106600,106590,106600
05/09/18,106600,106600,106600,106600
05/09/18,106570,106570,106570,106570
05/09/18,106540,106540,106520,106520
05/09/18,106550,106550,106550,106550
05/09/18,106570,106570,106570,106570
05/09/18,106550,106550,106490,106490
05/09/18,106600,106620,106600,106620
05/09/18,106590,106590,106590,106590
05/09/18,106640,106640,106640,106640
05/09/18,106570,106570,106570,106570
05/09/18,106570,106570,106570,106570
05/09/18,106500,106500,106400,106400
05/09/18,106340,106340,106300,106300
05/09/18,106290,106320,106260,106320
05/09/18,106310,106310,106310,106310
05/09/18,106310,106380,106310,106380
05/09/18,106390,106390,106390,106390
05/09/18,106300,106300,106300,106300
05/09/18,106450,106450,106450,106450
05/09/18,106430,106430,106430,106430
05/09/18,106430,106430,106430,106430
05/09/18,106450,106450,106450,106450
05/09/18,106470,106470,106470,106470
05/09/18,106530,106530,106530,106530
05/09/18,106550,106550,106550,106550
05/09/18,106500,106500,106500,106500
05/09/18,106550,106550,106550,106550
05/09/18,106550,106550,106550,106550
05/09/18,106650,106760,106650,106760
05/09/18,106620,106620,106610,106610
05/09/18,106710,106710,106710,106710
05/09/18,106550,106550,106550,106550
05/09/18,106620,106620,106620,106620
05/09/18,106660,106660,106660,106660
05/09/18,106700,106700,106700,106700
05/09/18,106700,106700,106700,106700
05/09/18,106630,106630,106630,106630
05/09/18,106670,106670,106670,106670
05/09/18,106600,106680,106600,106620
05/09/18,106700,106730,106700,106730
05/09/18,106550,106550,106550,106550
05/09/18,106500,106500,106500,106500
05/09/18,106520,106520,106520,106520
05/09/18,106560,106570,106560,106570
05/09/18,106700,106700,106700,106700
05/09/18,106590,106590,106590,106590
05/09/18,106550,106550,106540,106540
05/09/18,106620,106620,106620,106620
05/09/18,106620,106620,106610,106610
05/09/18,106580,106580,106580,106580
05/09/18,106650,106650,106650,106650
05/09/18,106700,106700,106700,106700
05/09/18,106760,106760,106760,106760
05/09/18,106840,106850,106840,106850
05/09/18,106800,106800,106790,106790
05/09/18,106830,106850,106830,106840
05/09/18,106760,106760,106710,106720
05/09/18,106740,106740,106740,106740
05/09/18,106740,106750,106700,106710
05/09/18,106600,106610,106600,106610
05/09/18,106600,106600,106550,106550
05/09/18,106490,106500,106480,106500
05/09/18,106520,106520,106520,106520
05/09/18,106520,106520,106510,106510
05/09/18,106570,106570,106570,106570
05/09/18,106580,106580,106580,106580
05/09/18,106510,106510,106510,106510
05/09/18,106700,106700,106700,106700
05/09/18,106600,106600,106600,106600
05/09/18,106550,106550,106550,106550
05/09/18,106460,106460,106400,106400
05/09/18,106370,106370,106360,106360
05/09/18,106280,106280,106270,106270
05/09/18,106260,106260,106260,106260
05/09/18,106480,106480,106480,106480
05/09/18,106320,106320,106320,106320
05/09/18,106340,106340,106340,106340
05/09/18,106350,106350,106350,106350
05/09/18,106340,106350,106270,106270
05/09/18,106250,106250,106250,106250
05/09/18,106370,106370,106370,106370
05/09/18,106350,106350,106350,106350
05/09/18,106360,106360,106360,106360
05/09/18,106400,106400,106400,106400
05/09/18,106360,106360,106360,106360
05/09/18,106330,106330,106330,106330
